N	Werner	σ²:R_sig (sim)	σ²:SR_sig (sim)		
10	5	0.0211	3.3e-5
50	5	0.0036	3.0e-6
100	5	0.0018	0.0
200	5	0.0009	0.0
400	5	0.0005	0.0
600	5	0.0003	0.0
800	5	0.0002	0.0
1000	5	0.0002	0.0
2500	5	0.0001	0.0
5000	5	0.0	0.0
7500	5	0.0	0.0
10000	5	0.0	0.0

10	6	0.0209	7.5e-5
50	6	0.0035	1.0e-5
100	6	0.0017	7.0e-6
200	6	0.0008	5.0e-6
400	6	0.0004	3.0e-6
600	6	0.0003	2.0e-6
800	6	0.0002	3.0e-6
1000	6	0.0002	3.0e-6
2500	6	0.0001	5.0e-6
5000	6	0.0	7.0e-6
7500	6	0.0	1.0e-5
10000	6	0.0	1.0e-5

10	8	0.0185	0.000508
50	8	0.0034	0.000727
100	8	0.0017	0.000751
200	8	0.0008	0.000575
400	8	0.0004	0.000358
600	8	0.0003	0.000272
800	8	0.0002	0.000219
1000	8	0.0002	0.000186
2500	8	0.0001	8.4e-5
5000	8	0.0	4.4e-5
7500	8	0.0	3.0e-5
10000	8	0.0	2.3e-5

N	Werner	σ²:R_sig (exp)	σ²:SR_sig (exp)
10	8	0.0076	0.0
600	8	0.0008	0.0
2500	8	0.0002	0.0
10000	8	0.0002	9.0e-6

10	10	0.0139	0.000599
600	10	0.0004	0.000358
2500	10	0.0002	0.000108
10000	10	0.0	8.4e-5
